gene,NRI,rank_early,rank_late,delta_rank
AC005551.1,1,0.9413419043792688,0.9535671239166619,0.012225219537393084
AC005562.1,1,0.5429604545715434,0.5406072432990874,-0.002353211272456024
AC005586.2,1,0.9408827412041554,0.973598117430982,0.03271537622682663
AC005606.2,1,0.9281409630947598,0.950582563278425,0.022441600183665256
AC005618.1,1,0.9264191011880847,0.9590770820180221,0.03265798082993743
AC005632.3,1,0.8561097399988521,0.8206393847213453,-0.03547035527750675
AC005670.3,1,0.4034896401308615,0.32061068702290074,-0.08287895310796078
AC005674.1,1,0.9521896343913219,0.9109797394248981,-0.0412098949664238
AC005674.2,1,0.7038971474487746,0.7031510072892154,-7.461401595592054e-4
AC005682.2,1,0.9455891637490673,0.9811169144234633,0.03552775067439595
AC005696.1,1,0.8913505136888021,0.8729839866842679,-0.018366527004534228
AC005722.3,1,0.8727544050967112,0.9486311197841933,0.07587671468748214
AC005726.1,1,0.7134821787292659,0.6573494805716582,-0.056132698157607686
AC005726.3,1,0.9002468002066234,0.8803305974860817,-0.01991620272054173
AC005730.2,1,0.9256729610285255,0.9883487344314986,0.06267577340297315
AC005730.3,1,0.9807725420421283,0.9107501578373415,-0.07002238420478679
AC005736.1,1,0.9519600528037652,0.9788210985478965,0.026861045744131284
AC005740.4,1,0.8522642484072778,0.9097744360902256,0.0575101876829478
AC005740.5,1,0.9703265798082994,0.8547896458704012,-0.11553693393789821
AC005746.1,1,0.9956953452333123,0.8774034322447339,-0.11829191298857833
AC005753.1,1,0.9831257533145842,0.8191471044022269,-0.16397864891235725
AC005753.3,1,0.8421052631578947,0.7465993227343167,-0.09550594042357796
AC005775.1,1,0.8520920622166103,0.8256901796475923,-0.026401882569017987
AC005785.1,1,0.774149113241118,0.8046834643861562,0.03053435114503822
AC005786.3,0.9743589743589743,0.9542558686793319,0.8650634219135626,-0.08919244676576932
AC005828.4,1,0.985765941571486,0.9407105550134879,-0.04505538655799812
AC005837.1,0.9743589743589743,0.8080697928026173,0.8418182861734489,0.033748493370831634
AC005838.2,1,0.9964988807897607,0.9113241118062332,-0.0851747689835275
AC005840.2,1,0.7560121678241405,0.6789301498019858,-0.07708201802215464
AC005840.4,1,0.9558055443953395,0.9012225219537393,-0.05458302244160018
AC005863.1,0.9743589743589743,0.9122424381564599,0.8914079090856913,-0.020834529070768548
AC005899.7,1,0.9496642369281983,0.9328473856396717,-0.016816851288526613
AC005899.8,1,0.9590770820180221,0.9954083682488665,0.03633128623084436
AC005911.1,1,0.9537967055042186,0.9334787350054525,-0.020317970498766047
AC005912.2,1,0.9849624060150376,0.9020260575101877,-0.08293634850484988
AC005921.4,1,0.9700396028238535,0.9994260460311083,0.02938644320725481
AC005944.1,1,0.8398668426792171,0.9230327727716238,0.08316593009240669
AC005962.1,1,0.8185731504333352,0.9046088503702003,0.0860356999368651
AC005962.2,1,0.9076508064053262,0.9414566951730471,0.03380588876772084
AC006001.2,1,0.7147448774608276,0.649830683579177,-0.06491419388165065
AC006008.1,1,0.6661883716925903,0.6162543763990128,-0.04993399529357745
AC006017.1,1,0.9854789645870401,0.868277564139356,-0.11720140044768412
AC006027.1,1,0.9286001262698732,0.797164667393675,-0.13143545887619823
AC006058.1,1,0.6818573150433336,0.6438041669058141,-0.03805314813751948
AC006058.3,1,0.8455489869712449,0.8730987774780462,0.027549790506801286
AC006059.1,1,0.8356769787063077,0.8202376169431211,-0.01543936176318661
AC006064.2,1,0.9259025426160822,0.9232049589622913,-0.0026975836537909137
AC006064.4,1,0.6951156517247317,0.7503300235321128,0.05521437180738109
AC006064.5,1,0.11019916202720542,0.06571772943809906,-0.04448143258910636
AC006111.2,1,0.8182861734488894,0.8023302531137003,-0.01595592033518911
AC006116.11,1,0.8893990701945704,0.9919646444355162,0.10256557424094581
AC006116.5,0.9743589743589743,0.9110371348217873,0.8568558801584113,-0.05418125466337598
AC006116.8,1,0.8427940079205648,0.9042644779888653,0.06147047006830053
AC006130.3,1,0.9284853354760948,0.9862825001434885,0.05779716466739371
AC006141.1,1,0.6932789990242783,0.6539631521551972,-0.03931584686908107
AC006160.1,1,0.8938759111519257,0.9289444986512082,0.035068587499282544
AC006213.1,1,0.8058313723239396,0.8897434425759054,0.08391207025196579
AC006213.2,1,0.7526832348045687,0.7361533605004879,-0.016529874304080816
AC006213.3,1,0.9171210468920392,0.8795844573265225,-0.037536589565516754
AC006213.4,1,0.9141364862538024,0.9040922917981978,-0.01004419445560456
