gene,cluster,module_membership,lfc_sur,pc_loading,NRI,rank_early,rank_late,delta_rank
ANKRD12,M1,0.7405636445291353,0.7054136726953448,0.009893688776177929,1,0.297996900648568,0.18045112781954886,-0.11754577282901912
ANKRD13A,M6,0.7226377687503911,0.09229764733539092,1.1924650449485603e-6,1,0.11203581472765885,0.08724100327153762,-0.024794811456121224
ANKRD13B,M1,0.5477143173663293,0.4583556432621414,0.007875742763273023,1,0.4122137404580153,0.3462664294323595,-0.06594731102565576
ANKRD13C,M6,0.2749099998958412,0.12276838866388395,0.0019292098556372753,1,0.3319175802100672,0.315617287493543,-0.016300292716524167
ANKRD13D,M1,0.45585683022333134,1.3185484778999328,0.01952111786554074,1,0.46415657464271365,0.2633874763243988,-0.20076909831831485
ANKRD16,M4,0.5130289460237543,0.25517165114328044,0.006396800492321088,1,0.5438213855248809,0.5301612810652586,-0.013660104459622291
ANKRD17,M6,0.009319281576672722,0.6481834652722132,0.01209526577049406,1,0.07794294897549217,0.033002353211272456,-0.044940595764219715
ANKRD18A,M1,0.3945544298320205,1.4995346286357982,0.02043955193233321,1,0.4829248694254721,0.2540320266314642,-0.2288928427940079
ANKRD18B,M7,0.25997212548073245,0.9046736294538,0.014735870854750633,1,0.6765769385295299,0.6238879641852724,-0.052688974344257566
ANKRD2,M3,0.05469353752847461,0.007867404529593003,-0.0015207664486370735,0.9743589743589743,0.6869081099695804,0.7008551914136486,0.013947081444068199
ANKRD20A1,M7,0.42142622851198996,0.9944550256385991,0.014082836140663782,1,0.7898180565918613,0.7084887791999082,-0.08132927739195317
ANKRD20A3,M7,0.7299771275051034,0.45516958453524836,0.006249170864789991,1,0.9093152729151122,0.8384319577569879,-0.0708833151581243
ANKRD20A4,M7,0.724097056074216,0.5665933528594653,0.00746683000364883,1,0.8817080870114217,0.8051426275612696,-0.07656545945015203
ANKRD22,M4,0.4575176704982995,0.03087241158185261,-0.0013334600373164477,1,0.623773173391494,0.6333582046719853,0.009585031280491374
ANKRD23,M7,0.4581413024923382,0.9026158474368744,0.013029922328163973,1,0.725707398266659,0.6700912586810538,-0.055616139585605184
ANKRD24,M7,0.5468099976982576,0.30216838534920054,0.0030780076203416927,1,0.8251736210755898,0.8015267175572519,-0.02364690351833787
ANKRD26,M1,0.647658016165265,0.9727875492896416,0.015251831147617167,1,0.46656718131205877,0.3252597141709235,-0.1413074671411353
ANKRD27,M1,0.465641343254934,0.39046951365175175,0.008304471169124906,1,0.29374964127876946,0.22785972565000287,-0.06588991562876659
ANKRD28,M6,0.3693409545620886,0.24573199905798937,0.0060075127963850694,1,0.22504735120243358,0.18050852321643804,-0.04453882798599554
ANKRD29,M4,0.531481928004996,0.2796415151304972,0.0018765001984086941,1,0.6412787694426907,0.6330712276875394,-0.00820754175515126
ANKRD31,M7,0.6921137563360178,0.36686793762415615,0.006524905884318881,1,0.9410549273948229,0.8749354301784997,-0.06611949721632315
ANKRD33B,M7,0.049088112427518094,0.6092852869128871,0.007986290629142951,1,0.617689261321242,0.5826780692188487,-0.03501119210239334
ANKRD34A,M7,0.4798701240764026,0.5107418111540918,0.004985387861135852,1,0.7232393962004248,0.6962061642656259,-0.027033231934798896
ANKRD35,M4,0.19576946628869685,0.09851419584916332,0.0021216273233944536,0.9743589743589743,0.6782414050393158,0.6849566664753487,0.006715261436032849
ANKRD36,M1,0.4048070481131083,1.5112906369472228,0.02223598037872069,1,0.2975951328703438,0.081271881995064,-0.2163232508752798
ANKRD36B,M1,0.42859745865774423,1.3872347948841917,0.020662087170351482,1,0.40515410664064744,0.1809676863915514,-0.22418642024909605
ANKRD36C,M1,0.4035066974373954,1.485016259135044,0.01986851469632578,1,0.4789645870401194,0.2520805831372324,-0.226884003902887
ANKRD37,M2,0.29084568592243465,-0.6682321943559524,-0.013912789830096473,1,0.6009872008264937,0.6644665097859151,0.06347930895942144
ANKRD39,M4,0.06390790004429092,0.5844683062389864,0.008395940996177286,1,0.5690179647592263,0.520805831372324,-0.048212133386902334
ANKRD40,M5,0.41272929827756133,-0.3746136597959211,-0.006591193236642256,1,0.1939390460885037,0.24880904551454974,0.054869999426046034
ANKRD42,M4,0.8249183085571603,0.15054193446123953,0.0012230216657491632,1,0.4881478505423865,0.4804568673592378,-0.007690983183148703
