Cluster,Description,score,FDR,Count
M4,HALLMARK_INFLAMMATORY_RESPONSE,0.10435247941754845,0.7864072715798059,23
M4,GOBP_MITOCHONDRIAL_TRANSLATION,0.001605208305789268,0.9963106935597574,21
M4,HALLMARK_UV_RESPONSE_DN,0.001605208305789268,0.9963106935597574,21
M4,HALLMARK_ESTROGEN_RESPONSE_EARLY,5.903210569373046e-9,0.9999999864073554,28
M4,HALLMARK_G2M_CHECKPOINT,5.903210569373046e-9,0.9999999864073554,26
M4,HALLMARK_P53_PATHWAY,5.903210569373046e-9,0.9999999864073554,26
M4,REACTOME_MRNA_SPLICING,5.903210569373046e-9,0.9999999864073554,24
M4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,5.903210569373046e-9,0.9999999864073554,23
M4,HALLMARK_XENOBIOTIC_METABOLISM,5.903210569373046e-9,0.9999999864073554,23
M4,HALLMARK_HEME_METABOLISM,5.903210569373046e-9,0.9999999864073554,20
M4,HALLMARK_IL2_STAT5_SIGNALING,5.903210569373046e-9,0.9999999864073554,20
M4,HALLMARK_GLYCOLYSIS,5.903210569373046e-9,0.9999999864073554,19
M4,HALLMARK_KRAS_SIGNALING_UP,5.903210569373046e-9,0.9999999864073554,19
M4,HALLMARK_ESTROGEN_RESPONSE_LATE,5.903210569373046e-9,0.9999999864073554,18
M4,HALLMARK_UV_RESPONSE_UP,5.903210569373046e-9,0.9999999864073554,18
M4,HALLMARK_MITOTIC_SPINDLE,5.903210569373046e-9,0.9999999864073554,17
M4,HALLMARK_COMPLEMENT,5.903210569373046e-9,0.9999999864073554,16
M4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5.903210569373046e-9,0.9999999864073554,16
M4,HALLMARK_KRAS_SIGNALING_DN,5.903210569373046e-9,0.9999999864073554,16
M4,WP_ADIPOGENESIS,5.903210569373046e-9,0.9999999864073554,15
M4,HALLMARK_APICAL_JUNCTION,5.903210569373046e-9,0.9999999864073554,14
M4,HALLMARK_APOPTOSIS,5.903210569373046e-9,0.9999999864073554,14
M4,HALLMARK_HYPOXIA,5.903210569373046e-9,0.9999999864073554,14
M4,WP_RAS_SIGNALING,5.903210569373046e-9,0.9999999864073554,14
M4,GOMF_HEAT_SHOCK_PROTEIN_BINDING,5.903210569373046e-9,0.9999999864073554,13
M4,HALLMARK_ADIPOGENESIS,5.903210569373046e-9,0.9999999864073554,13
M4,HALLMARK_FATTY_ACID_METABOLISM,5.903210569373046e-9,0.9999999864073554,12
M4,HALLMARK_ANDROGEN_RESPONSE,5.903210569373046e-9,0.9999999864073554,10
M4,HALLMARK_MTORC1_SIGNALING,5.903210569373046e-9,0.9999999864073554,10
