gene,loading,comp,comp_time_cor,axis_mode,axis_polarity
AC004076.2,0.0035045814213434533,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004130.2,-0.010093698248561675,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004148.1,-0.005032604670833174,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004156.1,-0.00139261058678375,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004223.2,0.012317366945485105,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004231.1,0.007619882344806292,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004233.2,-0.008848419455124192,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004241.1,-0.0015863138951503141,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004241.3,-0.0011462162034973143,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004241.4,0.001490707874526291,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004263.2,0.006790936620742203,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004264.1,-0.008401647905772457,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004449.1,-0.001794453778803828,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004461.2,0.016935367494413375,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004466.1,-0.002018232008279748,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004466.2,0.008666871565462845,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004477.1,-0.002148295773861796,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004477.3,-0.0019032443999910413,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004490.1,-0.011342972176361134,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004492.1,0.0017692290438551528,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004494.1,0.010573484895752047,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004540.1,0.003965531239577199,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004584.3,0.012713440989942591,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004585.1,0.0018767066603767892,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004596.1,0.005760200702460905,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004687.1,-0.008552161704455406,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004706.3,0.004428556975279245,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004707.1,-0.0028609391630937037,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004771.3,7.044248533175143e-5,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004771.4,0.005279952740900317,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004801.6,-2.0690101034139864e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004803.1,-2.466410438089651e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004812.2,0.001865845332086204,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004816.1,-2.325047756795368e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004825.2,-0.004461956139622512,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004832.5,0.006544328731630869,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004834.1,0.003974422893194821,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004837.4,-0.003900935760676523,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004846.2,0.00792578548943977,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004847.1,-0.0071381210928196754,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
