gene,cluster,module_membership,lfc_sur,pc_loading,NRI,baseline_value,abs_lfc_sur
AFDN,M6,0.13338375291650817,0.696976970056367,0.01037828584180873,1,3921.584261397851,0.696976970056367
MLLT6,M6,0.4966516279589891,0.4591491091262334,0.00659683855181802,1,3867.6806111811857,0.4591491091262334
DOCK5,M6,0.2991487122792441,0.4278239332849836,0.00858912549135248,1,3818.969123996151,0.4278239332849836
WAC,M6,0.1681802529548927,0.45926747233953513,0.00810689836664617,1,3785.7571029953015,0.45926747233953513
NBEAL2,M6,0.21780529707364693,0.8138309817097316,0.01086610249023303,1,3763.0442721133277,0.8138309817097316
PCM1,M6,0.2979629578043197,0.5641003143320127,0.00749364320610638,1,3699.4380891202777,0.5641003143320127
BAZ2A,M6,0.33658515898844266,0.5349702384500681,0.00785384179734359,1,3681.4069156621604,0.5349702384500681
ARFGEF1,M6,0.2472835965204032,0.45726974055363456,0.00756864179487289,1,3591.8963411344444,0.45726974055363456
TEAD1,M6,0.12004645628162625,0.45388022123660576,0.00744316085146512,1,3482.351752483316,0.45388022123660576
UTRN,M6,0.2665452736214282,0.4646913643324986,0.00847013057923117,1,3451.270422966069,0.4646913643324986
RUNX1,M6,0.4127245788323102,0.4319009931354678,0.00682415446277233,1,3440.4190281558267,0.4319009931354678
PNISR,M6,0.3297850353258981,0.6464888224125023,0.00789641814155859,1,3358.205113140235,0.6464888224125023
FOXK1,M6,0.16639577827993746,0.5171990786869038,0.00898084078153816,1,3277.7640892009904,0.5171990786869038
SLC43A3,M6,0.35506027321459355,0.4719153892936543,0.00727701827357965,1,3202.0233051641862,0.4719153892936543
CPSF1,M6,0.5063853254436895,0.43468210930407913,0.00637698483270054,1,3160.8068578389457,0.43468210930407913
LMO7,M6,0.3988674298137538,0.5819671430478159,0.00635510527773352,1,3153.4072018907245,0.5819671430478159
NSD3,M6,0.2314617542525128,0.5144713250151582,0.00738110251820953,1,3076.404930050805,0.5144713250151582
SH3D21,M6,0.09566904340946014,0.7483944773824192,0.01140781447379929,1,3052.1054993429166,0.7483944773824192
KANK1,M6,0.03801349264109877,0.4625116715360189,0.01008632114718086,0.97435897435897445,3013.6894476909197,0.4625116715360189
BCL6,M6,0.10228025434803724,0.7630505312527696,0.00843146231957979,1,3003.522982119368,0.7630505312527696
CFLAR,M6,0.05213570228121445,0.7793838315552417,0.00986196934748443,1,2992.308142188607,0.7793838315552417
TNS4,M6,0.1385027765882273,0.5655843385574482,0.00899534033072054,1,2972.3527620718964,0.5655843385574482
GTF3C1,M6,0.2561765103417254,0.43255872149463315,0.00779543422929409,1,2948.602797259866,0.43255872149463315
RBM25,M6,0.21719753514445195,0.4551508665658659,0.00757672352778689,0.97435897435897445,2940.6536754157864,0.4551508665658659
CSNK1E,M6,0.3826398977330272,0.568653900081669,0.00719809736583435,1,2939.8245511665596,0.568653900081669
ATXN2L,M6,0.5098048404709795,0.4763695677265538,0.00582725166980895,1,2933.1975958440753,0.4763695677265538
MINK1,M6,0.3047132938819831,0.5650620943862172,0.00789373450498218,1,2858.974001247002,0.5650620943862172
TCERG1,M6,0.1130177329706038,0.49407008327094104,0.0086767276111727,1,2849.7015937381493,0.49407008327094104
IVNS1ABP,M6,0.1611499261966498,0.5106903023927174,0.0076248786206062,0.97435897435897445,2832.7261366886733,0.5106903023927174
SMARCC2,M6,0.3179313449647819,0.5347402931411533,0.00706905657916721,1,2799.6617377449447,0.5347402931411533
DIDO1,M6,0.2619700982537292,0.44002943133058103,0.0081309556627377,1,2781.537127566839,0.44002943133058103
BOD1L1,M6,0.2681024860907425,0.4709601059453093,0.00645937866604368,0.97435897435897445,2768.6007164201455,0.4709601059453093
ERBB3,M6,0.02185401369953932,0.6836841423438464,0.00831673191057775,1,2760.6417437651844,0.6836841423438464
RALGAPA2,M6,0.14162823721128692,0.4620213685882817,0.00762106995631369,1,2730.4945517418973,0.4620213685882817
