gene,baseline_mean,region
ENSG00000149428_HYOU1,12.58351379,head
ENSG00000091527_CDV3,12.58247451,head
ENSG00000165678_GHITM,12.58188864,head
ENSG00000129003_VPS13C,12.57903225,head
ENSG00000198589_LRBA,12.57807336,head
ENSG00000121892_PDS5A,12.57716953,head
ENSG00000005884_ITGA3,12.5754349,head
ENSG00000179195_ZNF664,12.57489318,head
ENSG00000197324_LRP10,12.57203411,head
ENSG00000071127_WDR1,12.57178483,head
ENSG00000149115_TNKS1BP1,12.57007087,head
ENSG00000177311_ZBTB38,12.56904862,head
ENSG00000118680_MYL12B,12.56724876,head
ENSG00000072210_ALDH3A2,12.56600961,head
ENSG00000239264_TXNDC5,12.56385475,head
ENSG00000136848_DAB2IP,12.55981606,head
ENSG00000184007_PTP4A2,12.55933888,head
