baseline_mode,baseline_label,condition_label,comparison_id,window,baseline_rank,median,q25,q75,n_genes,time_h,dox,tam,cpt_level
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,132,-11.0,-25.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,133,-11.0,-25.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,134,-11.0,-25.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,135,-12.0,-25.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,136,-11.0,-16.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,137,-12.0,-25.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,138,-12.0,-25.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,139,-11.0,-16.0,13.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,140,-11.0,-16.0,13.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,141,-6.0,-16.0,16.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,142,-6.0,-16.0,16.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,143,1.0,-16.0,16.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,144,1.0,-25.0,16.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,145,6.0,-16.0,16.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,146,1.0,-17.0,13.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,147,1.0,-17.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,148,1.0,-17.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,149,1.0,-16.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,150,1.0,-16.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,151,1.0,-16.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,152,-6.0,-16.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,153,-6.0,-15.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,154,0.0,-15.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,155,0.0,-15.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,156,0.0,-15.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,157,0.0,-11.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,158,0.0,-11.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,159,-1.0,-15.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,160,-1.0,-16.0,12.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,161,-6.0,-16.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,162,-2.0,-13.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,163,-6.0,-16.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,164,-6.0,-16.0,6.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,165,-6.0,-13.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,166,-6.0,-13.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,167,-6.0,-17.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,168,-6.0,-17.0,7.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,169,-6.0,-13.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,170,-6.0,-17.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,171,-6.0,-13.0,11.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,172,-6.0,-13.0,17.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,173,-10.0,-17.0,17.0,17430,24,None_Dox,MYC,None_CPT
