gene_id,x_comparison_id,x_baseline_mode,x_baseline_label,x_condition_label,x_baseline_rank,x_condition_rank,x_rank_shift,x_band,y_comparison_id,y_baseline_mode,y_baseline_label,y_condition_label,y_baseline_rank,y_condition_rank,y_rank_shift,y_band,x_axis_label,y_axis_label
ENSG00000142937_RPS8,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,58,57,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,70,77,-7,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000181163_NPM1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,59,51,8,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,47,68,-21,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000168028_RPSA,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,60,60,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,67,86,-19,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000187514_PTMA,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,61,39,22,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,54,64,-10,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000162244_RPL29,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,62,65,-3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,86,117,-31,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000013588_GPRC5A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,63,111,-48,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,80,70,10,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000096384_HSP90AB1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,64,46,18,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,46,56,-10,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000229807_XIST,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,65,92,-27,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,82,42,40,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000137818_RPLP1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,66,79,-13,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,85,113,-28,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000163931_TKT,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,67,78,-11,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,60,58,2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000089009_RPL6,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,68,67,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,83,110,-27,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198242_RPL23A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,69,75,-6,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,90,104,-14,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000122406_RPL5,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,70,72,-2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,87,118,-31,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000170421_KRT8,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,71,69,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,63,52,11,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000197956_S100A6,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,72,95,-23,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,98,139,-41,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000197756_RPL37A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,73,77,-4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,92,124,-32,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000182718_ANXA2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,74,70,4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,66,66,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000169710_FASN,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,75,44,31,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,40,25,15,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000163399_ATP1A1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,76,71,5,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,58,57,1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000125691_RPL23,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,77,87,-10,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,96,131,-35,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
