gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000198728_LDB1,ENSG00000198728,813.128677060129,813.128677060129,928.314184744947,813.128677060129,0.190909591245987,6150,mid,Neutral,,,normcounts
ENSG00000124120_TTPAL,ENSG00000124120,812.853076157998,812.853076157998,827.755785197679,812.853076157998,0.0261786659811154,6151,mid,Neutral,,,normcounts
ENSG00000182224_CYB5D1,ENSG00000182224,812.734962631715,812.734962631715,911.366776448843,812.734962631715,0.165054933992469,6152,mid,Neutral,,,normcounts
ENSG00000100439_ABHD4,ENSG00000100439,812.313125744127,812.313125744127,767.214649083346,812.313125744127,-0.0823014222990217,6153,mid,Neutral,,,normcounts
ENSG00000159079_CFAP298,ENSG00000159079,811.761923939863,811.761923939863,910.047313714129,811.761923939863,0.164693163230512,6154,mid,Neutral,,,normcounts
ENSG00000188786_MTF1,ENSG00000188786,811.491946727324,811.491946727324,790.274468917013,811.491946727324,-0.0381753050647209,6155,mid,Neutral,,,normcounts
ENSG00000137413_TAF8,ENSG00000137413,811.176975986834,811.176975986834,784.041400822039,811.176975986834,-0.0490253899853208,6156,mid,Neutral,,,normcounts
ENSG00000092969_TGFB2,ENSG00000092969,811.123373400357,811.123373400357,660.65272127422,811.123373400357,-0.295624715762019,6157,mid,Neutral,,,normcounts
ENSG00000048162_NOP16,ENSG00000048162,810.974491071826,810.974491071826,1191.37209803328,810.974491071826,0.554328211578079,6158,mid,Up,,,normcounts
ENSG00000147679_UTP23,ENSG00000147679,810.912622463888,810.912622463888,840.415450352697,810.912622463888,0.051493835786955,6159,mid,Neutral,,,normcounts
ENSG00000079462_PAFAH1B3,ENSG00000079462,810.884500004716,810.884500004716,896.168655315764,810.884500004716,0.144104715490727,6160,mid,Neutral,,,normcounts
ENSG00000177426_TGIF1,ENSG00000177426,810.203937294983,810.203937294983,831.249341872144,810.203937294983,0.0369511698224922,6161,mid,Neutral,,,normcounts
ENSG00000019995_ZRANB1,ENSG00000019995,809.733279521443,809.733279521443,774.281348643404,809.733279521443,-0.0645074073402316,6162,mid,Neutral,,,normcounts
ENSG00000105552_BCAT2,ENSG00000105552,809.579615492388,809.579615492388,880.437731437216,809.579615492388,0.120904760091063,6163,mid,Neutral,,,normcounts
ENSG00000081026_MAGI3,ENSG00000081026,809.444630897327,809.444630897327,782.550988554376,809.444630897327,-0.0486864657861723,6164,mid,Neutral,,,normcounts
ENSG00000089127_OAS1,ENSG00000089127,809.185901063973,809.185901063973,742.347722633742,809.185901063973,-0.124215747871279,6165,mid,Neutral,,,normcounts
ENSG00000183527_PSMG1,ENSG00000183527,808.342227288799,808.342227288799,1059.99766709471,808.342227288799,0.390599709178151,6166,mid,Up,,,normcounts
ENSG00000151353_TMEM18,ENSG00000151353,808.325352208812,808.325352208812,865.309973886006,808.325352208812,0.0981635384705246,6167,mid,Neutral,,,normcounts
ENSG00000119421_NDUFA8,ENSG00000119421,807.897887620424,807.897887620424,782.995865937434,807.897887620424,-0.0451115465482008,6168,mid,Neutral,,,normcounts
ENSG00000170906_NDUFA3,ENSG00000170906,807.706654095809,807.706654095809,831.905310000813,807.706654095809,0.0425360080186969,6169,mid,Neutral,,,normcounts
ENSG00000137824_RMDN3,ENSG00000137824,807.599791959921,807.599791959921,875.287947073431,807.599791959921,0.115979183009475,6170,mid,Neutral,,,normcounts
ENSG00000086827_ZW10,ENSG00000086827,807.571673511955,807.571673511955,873.621567621234,807.571673511955,0.113283261893388,6171,mid,Neutral,,,normcounts
ENSG00000077684_JADE1,ENSG00000077684,807.222948600284,807.222948600284,785.071882751897,807.222948600284,-0.0400920693251017,6172,mid,Neutral,,,normcounts
ENSG00000118503_TNFAIP3,ENSG00000118503,807.054213845249,807.054213845249,745.584913238638,807.054213845249,-0.114145733899296,6173,mid,Neutral,,,normcounts
ENSG00000254004_ZNF260,ENSG00000254004,807.009220317298,807.009220317298,739.681083620896,807.009220317298,-0.12551926344527,6174,mid,Neutral,,,normcounts
ENSG00000007392_LUC7L,ENSG00000007392,806.969846467731,806.969846467731,816.649369414821,806.969846467731,0.0171808559551412,6175,mid,Neutral,,,normcounts
ENSG00000133315_MACROD1,ENSG00000133315,806.80673540229,806.80673540229,983.42145688251,806.80673540229,0.285265928632452,6176,mid,Neutral,,,normcounts
ENSG00000108592_FTSJ3,ENSG00000108592,806.67174679602,806.67174679602,961.542997905317,806.67174679602,0.253081915674127,6177,mid,Neutral,,,normcounts
ENSG00000171943_SRGAP2C,ENSG00000171943,806.66539395216,806.66539395216,714.282625675957,806.66539395216,-0.175244326898067,6178,mid,Neutral,,,normcounts
ENSG00000165724_ZMYND19,ENSG00000165724,806.638000647255,806.638000647255,1015.30309376475,806.638000647255,0.331550025160526,6179,mid,Up,,,normcounts
ENSG00000100324_TAB1,ENSG00000100324,806.373647124309,806.373647124309,820.281144427236,806.373647124309,0.0246396783451299,6180,mid,Neutral,,,normcounts
ENSG00000185800_DMWD,ENSG00000185800,806.35677605553,806.35677605553,767.493594585037,806.35677605553,-0.0711731153914581,6181,mid,Neutral,,,normcounts
ENSG00000165819_METTL3,ENSG00000165819,806.098050233385,806.098050233385,841.335311028309,806.098050233385,0.0616506958891812,6182,mid,Neutral,,,normcounts
ENSG00000188938_FAM120AOS,ENSG00000188938,806.04180531504,806.04180531504,885.946976647439,806.04180531504,0.136204452066639,6183,mid,Neutral,,,normcounts
ENSG00000176953_NFATC2IP,ENSG00000176953,806.008055155067,806.008055155067,738.502348049923,806.008055155067,-0.126028345700995,6184,mid,Neutral,,,normcounts
ENSG00000102996_MMP15,ENSG00000102996,806.002431465474,806.002431465474,804.708509492969,806.002431465474,-0.00231502765458735,6185,mid,Neutral,,,normcounts
ENSG00000137168_PPIL1,ENSG00000137168,805.878694249598,805.878694249598,924.561753175122,805.878694249598,0.197977453710099,6186,mid,Neutral,,,normcounts
ENSG00000112874_NUDT12,ENSG00000112874,805.664965966612,805.664965966612,824.061173080767,805.664965966612,0.0325314900391156,6187,mid,Neutral,,,normcounts
ENSG00000134480_CCNH,ENSG00000134480,805.428734902838,805.428734902838,789.02787858996,805.428734902838,-0.0296434821143183,6188,mid,Neutral,,,normcounts
ENSG00000006652_IFRD1,ENSG00000006652,805.389361053272,805.389361053272,768.124474455794,805.389361053272,-0.0682595034066935,6189,mid,Neutral,,,normcounts
ENSG00000068024_HDAC4,ENSG00000068024,805.265623837397,805.265623837397,872.053265294326,805.265623837397,0.114814463605954,6190,mid,Neutral,,,normcounts
ENSG00000101846_STS,ENSG00000101846,805.209378919051,805.209378919051,636.182117210673,805.209378919051,-0.339448789092167,6191,mid,Down,,,normcounts
ENSG00000020129_NCDN,ENSG00000020129,805.057519244003,805.057519244003,964.370434688237,805.057519244003,0.26019985234678,6192,mid,Neutral,,,normcounts
ENSG00000135974_C2orf49,ENSG00000135974,804.973147855278,804.973147855278,816.90824431018,804.973147855278,0.0212072317652403,6193,mid,Neutral,,,normcounts
ENSG00000163684_RPP14,ENSG00000163684,804.626512413077,804.626512413077,873.019144091978,804.626512413077,0.117553718298423,6194,mid,Neutral,,,normcounts
ENSG00000176444_CLK2,ENSG00000176444,804.438821131001,804.438821131001,796.452226384864,804.438821131001,-0.0143769172648511,6195,mid,Neutral,,,normcounts
ENSG00000070010_UFD1,ENSG00000070010,804.253211295979,804.253211295979,853.105221417212,804.253211295979,0.0849713044915639,6196,mid,Neutral,,,normcounts
ENSG00000100422_CERK,ENSG00000100422,803.775129490047,803.775129490047,781.015300962755,803.775129490047,-0.0413888855773159,6197,mid,Neutral,,,normcounts
ENSG00000173011_TADA2B,ENSG00000173011,803.432036290384,803.432036290384,775.983664330589,803.432036290384,-0.0500862706771041,6198,mid,Neutral,,,normcounts
ENSG00000001497_LAS1L,ENSG00000001497,803.297047684115,803.297047684115,919.044981487524,803.297047684115,0.19397597263862,6199,mid,Neutral,,,normcounts
ENSG00000155545_MIER3,ENSG00000155545,803.100190469908,803.100190469908,722.96997078803,803.100190469908,-0.151445413987354,6200,mid,Neutral,,,normcounts
ENSG00000147789_ZNF7,ENSG00000147789,803.01582309239,803.01582309239,820.286162078819,803.01582309239,0.0306610961562797,6201,mid,Neutral,,,normcounts
