gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000198840_MT-ND3,ENSG00000198840,18971.8963120014,18971.8963120014,18177.3145526994,18971.8963120014,-0.0617214878146779,140,head,Neutral,,,normcounts
ENSG00000142676_RPL11,ENSG00000142676,18682.6000049026,18682.6000049026,17757.4079536328,18682.6000049026,-0.0732702146240065,141,head,Neutral,,,normcounts
ENSG00000171863_RPS7,ENSG00000171863,18654.9780861935,18654.9780861935,18185.8834359361,18654.9780861935,-0.0367396598140104,142,head,Neutral,,,normcounts
ENSG00000065978_YBX1,ENSG00000065978,18369.6920915117,18369.6920915117,21133.563395559,18369.6920915117,0.20219832993037,143,head,Neutral,,,normcounts
ENSG00000112306_RPS12,ENSG00000112306,18291.3202650505,18291.3202650505,16409.0286167827,18291.3202650505,-0.156660328717351,144,head,Neutral,,,normcounts
ENSG00000105372_RPS19,ENSG00000105372,18284.615848321,18284.615848321,17619.4978402372,18284.615848321,-0.0534545306035277,145,head,Neutral,,,normcounts
ENSG00000197102_DYNC1H1,ENSG00000197102,18219.231034476,18219.231034476,17772.7595844853,18219.231034476,-0.0357923738811454,146,head,Neutral,,,normcounts
ENSG00000132507_EIF5A,ENSG00000132507,18197.5366641424,18197.5366641424,20564.6220914987,18197.5366641424,0.176412264069269,147,head,Neutral,,,normcounts
ENSG00000188846_RPL14,ENSG00000188846,18189.6573906264,18189.6573906264,17859.945877042,18189.6573906264,-0.0263891968758028,148,head,Neutral,,,normcounts
ENSG00000086758_HUWE1,ENSG00000086758,18189.1793368989,18189.1793368989,15982.3827335515,18189.1793368989,-0.186586993082896,149,head,Neutral,,,normcounts
ENSG00000130402_ACTN4,ENSG00000130402,18181.2995168582,18181.2995168582,20969.8042132346,18181.2995168582,0.205847519846662,150,head,Neutral,,,normcounts
ENSG00000103335_PIEZO1,ENSG00000103335,18150.735854986,18150.735854986,15950.0385494157,18150.735854986,-0.186457161232807,151,head,Neutral,,,normcounts
ENSG00000137699_TRIM29,ENSG00000137699,17931.4983818349,17931.4983818349,20548.618735235,17931.4983818349,0.196535126707376,152,head,Neutral,,,normcounts
ENSG00000170889_RPS9,ENSG00000170889,17925.5138735863,17925.5138735863,16619.2334828666,17925.5138735863,-0.109154308628293,153,head,Neutral,,,normcounts
ENSG00000153187_HNRNPU,ENSG00000153187,17856.3887847049,17856.3887847049,22342.7754389991,17856.3887847049,0.323351843032201,154,head,Up,,,normcounts
ENSG00000063177_RPL18,ENSG00000063177,17742.6388083357,17742.6388083357,18072.3133617107,17742.6388083357,0.0265591149926454,155,head,Neutral,,,normcounts
ENSG00000130741_EIF2S3,ENSG00000130741,17708.0377652073,17708.0377652073,15956.4060149259,17708.0377652073,-0.150259673514627,156,head,Neutral,,,normcounts
ENSG00000130707_ASS1,ENSG00000130707,17551.1695299913,17551.1695299913,16755.5990739454,17551.1695299913,-0.0669199966004808,157,head,Neutral,,,normcounts
ENSG00000229807_XIST,ENSG00000229807,17422.7340503677,17422.7340503677,17610.1086011185,17422.7340503677,0.0154318896367087,158,head,Neutral,,,normcounts
ENSG00000009307_CSDE1,ENSG00000009307,17383.2668965006,17383.2668965006,16735.5853391046,17383.2668965006,-0.0547770152954197,159,head,Neutral,,,normcounts
ENSG00000253729_PRKDC,ENSG00000253729,17323.900280896,17323.900280896,20577.4472214307,17323.900280896,0.248287077067307,160,head,Neutral,,,normcounts
ENSG00000165119_HNRNPK,ENSG00000165119,17256.2825092963,17256.2825092963,18497.853746691,17256.2825092963,0.100230576760747,161,head,Neutral,,,normcounts
ENSG00000150991_UBC,ENSG00000150991,17236.731720325,17236.731720325,17404.1162884106,17236.731720325,0.0139415076647893,162,head,Neutral,,,normcounts
ENSG00000185499_MUC1,ENSG00000185499,17234.9375106387,17234.9375106387,13141.9826932678,17234.9375106387,-0.39112705229091,163,head,Down,,,normcounts
ENSG00000111319_SCNN1A,ENSG00000111319,17220.1844428851,17220.1844428851,15786.914748585,17220.1844428851,-0.125363738068462,164,head,Neutral,,,normcounts
ENSG00000166441_RPL27A,ENSG00000166441,17112.4470571117,17112.4470571117,17122.824193909,17112.4470571117,0.00087454658081576,165,head,Neutral,,,normcounts
ENSG00000092199_HNRNPC,ENSG00000092199,17086.4337783658,17086.4337783658,16632.3430245261,17086.4337783658,-0.0388575913295259,166,head,Neutral,,,normcounts
ENSG00000179218_CALR,ENSG00000179218,17071.9675508712,17071.9675508712,17657.105005017,17071.9675508712,0.0486166839132807,167,head,Neutral,,,normcounts
ENSG00000163993_S100P,ENSG00000163993,16933.6834986011,16933.6834986011,15679.4720545491,16933.6834986011,-0.111012031897916,168,head,Neutral,,,normcounts
ENSG00000099204_ABLIM1,ENSG00000099204,16896.8261939827,16896.8261939827,15690.179077306,16896.8261939827,-0.106883899850796,169,head,Neutral,,,normcounts
ENSG00000124614_RPS10,ENSG00000124614,16882.9700338018,16882.9700338018,16143.6470527277,16882.9700338018,-0.0645982721469007,170,head,Neutral,,,normcounts
ENSG00000131981_LGALS3,ENSG00000131981,16759.3802158655,16759.3802158655,14696.715754323,16759.3802158655,-0.189462921501685,171,head,Neutral,,,normcounts
ENSG00000166710_B2M,ENSG00000166710,16667.892080062,16667.892080062,13862.8838010826,16667.892080062,-0.265826749038352,172,head,Neutral,,,normcounts
