timepoint	condition	x	density
4h	Ctrl	3.0537634408602155	0.07204658708987154
4h	Ctrl	3.0752688172043015	0.07196451209425422
4h	Ctrl	3.0967741935483875	0.07187724342335834
4h	Ctrl	3.1182795698924735	0.0717815785205928
4h	Ctrl	3.1397849462365595	0.07167516144494042
4h	Ctrl	3.1612903225806455	0.07155830513199958
4h	Ctrl	3.1827956989247315	0.07142847155607379
4h	Ctrl	3.2043010752688175	0.07128224793183421
4h	Ctrl	3.2258064516129035	0.0711168620332597
4h	Ctrl	3.2473118279569895	0.0709309718969284
4h	Ctrl	3.2688172043010755	0.07072330936275127
4h	Ctrl	3.2903225806451615	0.07049360330404625
4h	Ctrl	3.3118279569892475	0.07024258893249048
4h	Ctrl	3.3333333333333335	0.0699683374779017
4h	Ctrl	3.3548387096774195	0.06967098488502527
4h	Ctrl	3.3763440860215055	0.06935006009510021
4h	Ctrl	3.3978494623655915	0.06900708398164387
4h	Ctrl	3.4193548387096775	0.06864573951515243
4h	Ctrl	3.440860215053764	0.06826694679544221
4h	Ctrl	3.46236559139785	0.0678717816221588
4h	Ctrl	3.483870967741936	0.06746250194758237
4h	Ctrl	3.505376344086022	0.06704094334016328
4h	Ctrl	3.526881720430108	0.06661303128738787
4h	Ctrl	3.548387096774194	0.06618037591628219
4h	Ctrl	3.56989247311828	0.06574523949150654
4h	Ctrl	3.591397849462366	0.06531036443934482
4h	Ctrl	3.612903225806452	0.06487810786756032
4h	Ctrl	3.634408602150538	0.0644545628965092
4h	Ctrl	3.655913978494624	0.06404062839787654
4h	Ctrl	3.67741935483871	0.0636382074334663
4h	Ctrl	3.698924731182796	0.06324809564250629
4h	Ctrl	3.720430107526882	0.06287386238866999
4h	Ctrl	3.741935483870968	0.0625177353751697
4h	Ctrl	3.763440860215054	0.0621796661501096
4h	Ctrl	3.78494623655914	0.0618595006878533
4h	Ctrl	3.806451612903226	0.06155736007089326
4h	Ctrl	3.827956989247312	0.06127740475681157
4h	Ctrl	3.849462365591398	0.06101673897436391
4h	Ctrl	3.870967741935484	0.06077452877697852
4h	Ctrl	3.89247311827957	0.06055118242433878
4h	Ctrl	3.9139784946236564	0.060347660835573094
4h	Ctrl	3.9354838709677424	0.06016184656466343
4h	Ctrl	3.9569892473118284	0.05999222166580173
4h	Ctrl	3.9784946236559144	0.0598384226444297
4h	Ctrl	4.0	0.059701425845311545
4h	Ctrl	4.021505376344086	0.059578752294865395
4h	Ctrl	4.043010752688172	0.05946715446501101
4h	Ctrl	4.064516129032258	0.05936950104427866
4h	Ctrl	4.086021505376344	0.05928216759868324
4h	Ctrl	4.10752688172043	0.05920260457320738
4h	Ctrl	4.129032258064516	0.05913057942016344
4h	Ctrl	4.150537634408603	0.05906530091485093
4h	Ctrl	4.172043010752689	0.059002382353882
4h	Ctrl	4.193548387096775	0.058940394087953825
4h	Ctrl	4.215053763440861	0.058878434957120626
4h	Ctrl	4.236559139784947	0.05881281666900382
4h	Ctrl	4.258064516129033	0.05874109684064283
4h	Ctrl	4.279569892473119	0.05866330911340204
4h	Ctrl	4.301075268817205	0.05857487074248124
4h	Ctrl	4.322580645161291	0.05847486274946867
4h	Ctrl	4.344086021505377	0.05836282988540953
