contrast_id	timepoint	numerator	denominator	x	delta_density
D_vs_Ctrl_4h	4h	D	Ctrl	5.182795698924732	-0.00029156329367814593
D_vs_Ctrl_4h	4h	D	Ctrl	5.204301075268818	-0.00020338787258140228
D_vs_Ctrl_4h	4h	D	Ctrl	5.225806451612904	-0.0001000457609469721
D_vs_Ctrl_4h	4h	D	Ctrl	5.24731182795699	1.864341003847414e-05
D_vs_Ctrl_4h	4h	D	Ctrl	5.268817204301076	0.00015097697277551697
D_vs_Ctrl_4h	4h	D	Ctrl	5.290322580645162	0.00029396424735368687
D_vs_Ctrl_4h	4h	D	Ctrl	5.311827956989248	0.00044647553801304557
D_vs_Ctrl_4h	4h	D	Ctrl	5.333333333333334	0.0006059382663001281
D_vs_Ctrl_4h	4h	D	Ctrl	5.35483870967742	0.0007703329559839434
D_vs_Ctrl_4h	4h	D	Ctrl	5.376344086021506	0.0009372278471397044
D_vs_Ctrl_4h	4h	D	Ctrl	5.397849462365592	0.0011062737899390357
D_vs_Ctrl_4h	4h	D	Ctrl	5.419354838709678	0.0012737080690521027
D_vs_Ctrl_4h	4h	D	Ctrl	5.440860215053764	0.001438029729617027
D_vs_Ctrl_4h	4h	D	Ctrl	5.46236559139785	0.0015975889548317454
D_vs_Ctrl_4h	4h	D	Ctrl	5.483870967741936	0.0017503635167380877
D_vs_Ctrl_4h	4h	D	Ctrl	5.505376344086022	0.0018946466765119643
D_vs_Ctrl_4h	4h	D	Ctrl	5.526881720430108	0.002029208824708688
D_vs_Ctrl_4h	4h	D	Ctrl	5.548387096774194	0.002152100628430978
D_vs_Ctrl_4h	4h	D	Ctrl	5.56989247311828	0.0022624211190745355
D_vs_Ctrl_4h	4h	D	Ctrl	5.591397849462366	0.002359069147775207
D_vs_Ctrl_4h	4h	D	Ctrl	5.612903225806452	0.0024407534300323816
D_vs_Ctrl_4h	4h	D	Ctrl	5.634408602150538	0.002507097362328313
D_vs_Ctrl_4h	4h	D	Ctrl	5.655913978494624	0.0025571190679557973
D_vs_Ctrl_4h	4h	D	Ctrl	5.67741935483871	0.0025903136027331103
D_vs_Ctrl_4h	4h	D	Ctrl	5.698924731182796	0.0026071086130405527
D_vs_Ctrl_4h	4h	D	Ctrl	5.720430107526882	0.002606442888097492
D_vs_Ctrl_4h	4h	D	Ctrl	5.741935483870968	0.002588559031889967
D_vs_Ctrl_4h	4h	D	Ctrl	5.763440860215054	0.0025538538059291793
D_vs_Ctrl_4h	4h	D	Ctrl	5.78494623655914	0.002502595543047617
D_vs_Ctrl_4h	4h	D	Ctrl	5.806451612903226	0.0024353597868969276
D_vs_Ctrl_4h	4h	D	Ctrl	5.827956989247312	0.002352563066842339
D_vs_Ctrl_4h	4h	D	Ctrl	5.849462365591398	0.0022556138466860096
D_vs_Ctrl_4h	4h	D	Ctrl	5.870967741935484	0.002145084746758362
D_vs_Ctrl_4h	4h	D	Ctrl	5.89247311827957	0.0020222986992188483
D_vs_Ctrl_4h	4h	D	Ctrl	5.913978494623656	0.0018882341822467341
D_vs_Ctrl_4h	4h	D	Ctrl	5.935483870967742	0.001744504172870788
D_vs_Ctrl_4h	4h	D	Ctrl	5.956989247311828	0.0015927068403801467
D_vs_Ctrl_4h	4h	D	Ctrl	5.978494623655915	0.0014344618297657957
D_vs_Ctrl_4h	4h	D	Ctrl	6.000000000000001	0.001271318443010698
D_vs_Ctrl_4h	4h	D	Ctrl	6.021505376344087	0.00110518321790809
D_vs_Ctrl_4h	4h	D	Ctrl	6.043010752688173	0.0009378784143352914
D_vs_Ctrl_4h	4h	D	Ctrl	6.064516129032259	0.0007707742014914157
D_vs_Ctrl_4h	4h	D	Ctrl	6.086021505376345	0.0006060342977211378
D_vs_Ctrl_4h	4h	D	Ctrl	6.107526881720431	0.0004456602314558619
D_vs_Ctrl_4h	4h	D	Ctrl	6.129032258064517	0.00029221839367730984
D_vs_Ctrl_4h	4h	D	Ctrl	6.150537634408603	0.00014553176571027726
D_vs_Ctrl_4h	4h	D	Ctrl	6.172043010752689	7.661085558281766e-06
D_vs_Ctrl_4h	4h	D	Ctrl	6.193548387096775	-0.0001196089682603263
D_vs_Ctrl_4h	4h	D	Ctrl	6.215053763440861	-0.00023594533373522825
