gene_id	log_expression	timepoint	condition
ENSG00000011454_RABGAP1	11.174640513323636	4h	Ctrl
ENSG00000011478_QPCTL	7.949777792897629	4h	Ctrl
ENSG00000011485_PPP5C	10.15611871510337	4h	Ctrl
ENSG00000011523_CEP68	8.780692605162821	4h	Ctrl
ENSG00000011566_MAP4K3	10.053803619594477	4h	Ctrl
ENSG00000011638_TMEM159	10.023695788353056	4h	Ctrl
ENSG00000012048_BRCA1	9.725638785715061	4h	Ctrl
ENSG00000012061_ERCC1	9.729324491134236	4h	Ctrl
ENSG00000012171_SEMA3B	9.987499842379451	4h	Ctrl
ENSG00000012174_MBTPS2	9.741761496818652	4h	Ctrl
ENSG00000012211_PRICKLE3	8.794313889416895	4h	Ctrl
ENSG00000012223_LTF	6.676748407896365	4h	Ctrl
ENSG00000012232_EXTL3	10.628797857128607	4h	Ctrl
ENSG00000012660_ELOVL5	12.021761453480574	4h	Ctrl
ENSG00000012822_CALCOCO1	10.330579039070564	4h	Ctrl
ENSG00000012963_UBR7	9.394277980870575	4h	Ctrl
ENSG00000012983_MAP4K5	10.911276355973465	4h	Ctrl
ENSG00000013016_EHD3	2.510675546903063	4h	Ctrl
ENSG00000013275_PSMC4	10.34578703953114	4h	Ctrl
ENSG00000013288_MAN2B2	12.038975392938745	4h	Ctrl
ENSG00000013297_CLDN11	1.6465307988931097	4h	Ctrl
ENSG00000013306_SLC25A39	11.920383272655764	4h	Ctrl
ENSG00000013364_MVP	12.476332318451867	4h	Ctrl
ENSG00000013374_NUB1	10.45427523337424	4h	Ctrl
ENSG00000013375_PGM3	10.528866156558855	4h	Ctrl
ENSG00000013392_RWDD2A	7.3427183472326645	4h	Ctrl
ENSG00000013441_CLK1	11.379285030380196	4h	Ctrl
ENSG00000013503_POLR3B	9.78354685075716	4h	Ctrl
ENSG00000013523_ANGEL1	9.982978805382158	4h	Ctrl
ENSG00000013561_RNF14	9.698453648355105	4h	Ctrl
ENSG00000013563_DNASE1L1	8.726881134076464	4h	Ctrl
ENSG00000013573_DDX11	9.671337985153949	4h	Ctrl
ENSG00000013583_HEBP1	9.489346643710203	4h	Ctrl
ENSG00000013588_GPRC5A	14.81691402889101	4h	Ctrl
ENSG00000013619_MAMLD1	7.497018709400763	4h	Ctrl
ENSG00000013810_TACC3	10.077415442909036	4h	Ctrl
ENSG00000014123_UFL1	10.678618752905418	4h	Ctrl
ENSG00000014138_POLA2	8.091427264996453	4h	Ctrl
ENSG00000014164_ZC3H3	9.892752300961869	4h	Ctrl
ENSG00000014216_CAPN1	13.170569604104251	4h	Ctrl
ENSG00000014257_ACPP	7.494246748005895	4h	Ctrl
ENSG00000014641_MDH1	11.651824124337484	4h	Ctrl
ENSG00000014824_SLC30A9	11.555028822143607	4h	Ctrl
ENSG00000014914_MTMR11	6.939129836613087	4h	Ctrl
ENSG00000014919_COX15	10.479005595921027	4h	Ctrl
ENSG00000015133_CCDC88C	9.803068942948505	4h	Ctrl
ENSG00000015153_YAF2	8.86501714277537	4h	Ctrl
ENSG00000015171_ZMYND11	11.072885705497892	4h	Ctrl
ENSG00000015285_WAS	1.444299190281779	4h	Ctrl
ENSG00000015475_BID	11.108899622485513	4h	Ctrl
ENSG00000015479_MATR3	12.786179695830297	4h	Ctrl
ENSG00000015520_NPC1L1	0.8849994128289737	4h	Ctrl
ENSG00000015532_XYLT2	9.215982858038101	4h	Ctrl
ENSG00000015568_RGPD5	9.329786183030178	4h	Ctrl
