contrast_id	timepoint	numerator	denominator	x	ci_low	ci_high
D_vs_Ctrl_4h	4h	D	Ctrl	1.3548387096774195	-0.007362409637541106	0.0019471723571536045
D_vs_Ctrl_4h	4h	D	Ctrl	1.3763440860215055	-0.007333026924350011	0.002110321272557518
D_vs_Ctrl_4h	4h	D	Ctrl	1.3978494623655915	-0.007244709446257882	0.0023543087783383185
D_vs_Ctrl_4h	4h	D	Ctrl	1.4193548387096775	-0.007147721758047012	0.0025874133353148534
D_vs_Ctrl_4h	4h	D	Ctrl	1.4408602150537635	-0.0069899859784627065	0.0027926808577473454
D_vs_Ctrl_4h	4h	D	Ctrl	1.4623655913978495	-0.00685925385322839	0.0030379043550771935
D_vs_Ctrl_4h	4h	D	Ctrl	1.4838709677419355	-0.006711387000460137	0.0032947443959287907
D_vs_Ctrl_4h	4h	D	Ctrl	1.5053763440860217	-0.006538062918496718	0.003531749414960351
D_vs_Ctrl_4h	4h	D	Ctrl	1.5268817204301077	-0.006426038391113477	0.0038134251799632293
D_vs_Ctrl_4h	4h	D	Ctrl	1.5483870967741937	-0.0063078450514456475	0.004056250336788
D_vs_Ctrl_4h	4h	D	Ctrl	1.5698924731182797	-0.006188082667871792	0.004300293411424358
D_vs_Ctrl_4h	4h	D	Ctrl	1.5913978494623657	-0.00606147854552343	0.004528342570107668
D_vs_Ctrl_4h	4h	D	Ctrl	1.6129032258064517	-0.005966982845860699	0.004764774577390627
D_vs_Ctrl_4h	4h	D	Ctrl	1.6344086021505377	-0.005842051889442463	0.004955694938418483
D_vs_Ctrl_4h	4h	D	Ctrl	1.6559139784946237	-0.0057476424536021175	0.005160614389089821
D_vs_Ctrl_4h	4h	D	Ctrl	1.6774193548387097	-0.005650480128015545	0.005320749142221655
D_vs_Ctrl_4h	4h	D	Ctrl	1.6989247311827957	-0.0055575733723440485	0.0055166439658290755
D_vs_Ctrl_4h	4h	D	Ctrl	1.720430107526882	-0.005414946224523147	0.005657520701549008
D_vs_Ctrl_4h	4h	D	Ctrl	1.741935483870968	-0.005327423742097088	0.00584318268557948
D_vs_Ctrl_4h	4h	D	Ctrl	1.763440860215054	-0.005270538648413648	0.00590454814339905
D_vs_Ctrl_4h	4h	D	Ctrl	1.78494623655914	-0.0051625553885040225	0.005985727119023314
D_vs_Ctrl_4h	4h	D	Ctrl	1.806451612903226	-0.005125044692895134	0.006112544002573034
D_vs_Ctrl_4h	4h	D	Ctrl	1.827956989247312	-0.005065829148745506	0.006235870877855191
D_vs_Ctrl_4h	4h	D	Ctrl	1.849462365591398	-0.005013902650362878	0.0063594023725261194
