contrast_id	gene_id	baseline_bin	n_methods	spread_iqr	phase
DT_vs_D_24h	ENSG00000015475_BID	Non-head	6	0.021992564127073733	Late
DT_vs_D_24h	ENSG00000015479_MATR3	Head	6	0.8208486354971869	Late
DT_vs_D_24h	ENSG00000015520_NPC1L1	Non-head	6	0.5421909867769756	Late
DT_vs_D_24h	ENSG00000015532_XYLT2	Non-head	6	0.3613916647813169	Late
DT_vs_D_24h	ENSG00000015568_RGPD5	Non-head	6	0.4065165454870173	Late
DT_vs_D_24h	ENSG00000015676_NUDCD3	Non-head	6	0.12156076147628747	Late
DT_vs_D_24h	ENSG00000016082_ISL1	Non-head	6	0.4817816841952496	Late
DT_vs_D_24h	ENSG00000016391_CHDH	Non-head	6	0.10188453896280747	Late
DT_vs_D_24h	ENSG00000016402_IL20RA	Non-head	6	0.044769445731630164	Late
DT_vs_D_24h	ENSG00000016864_GLT8D1	Non-head	6	0.198708196530892	Late
DT_vs_D_24h	ENSG00000017260_ATP2C1	Head	6	0.1684939554891458	Late
DT_vs_D_24h	ENSG00000017483_SLC38A5	Non-head	6	0.4306086425362369	Late
DT_vs_D_24h	ENSG00000017797_RALBP1	Head	6	0.6250006246317621	Late
DT_vs_D_24h	ENSG00000018189_RUFY3	Non-head	6	0.1563049852960965	Late
DT_vs_D_24h	ENSG00000018280_SLC11A1	Non-head	6	0.18830363331174238	Late
DT_vs_D_24h	ENSG00000018408_WWTR1	Non-head	6	0.27687433528223915	Late
DT_vs_D_24h	ENSG00000018510_AGPS	Non-head	6	0.37484413755408896	Late
DT_vs_D_24h	ENSG00000018610_CXorf56	Non-head	6	0.06804415995935542	Late
DT_vs_D_24h	ENSG00000018625_ATP1A2	Non-head	6	0.19407265008543956	Late
DT_vs_D_24h	ENSG00000018699_TTC27	Non-head	6	0.09910058483544704	Late
DT_vs_D_24h	ENSG00000018869_ZNF582	Non-head	6	0.31829993230882575	Late
DT_vs_D_24h	ENSG00000019144_PHLDB1	Non-head	6	0.24127216101916982	Late
DT_vs_D_24h	ENSG00000019169_MARCO	Non-head	6	0.08908919396828002	Late
DT_vs_D_24h	ENSG00000019485_PRDM11	Non-head	6	0.09910416734020756	Late
DT_vs_D_24h	ENSG00000019549_SNAI2	Non-head	6	0.08190686172219641	Late
DT_vs_D_24h	ENSG00000019582_CD74	Non-head	6	0.4077620320457628	Late
DT_vs_D_24h	ENSG00000019995_ZRANB1	Non-head	6	0.17771023956387166	Late
DT_vs_D_24h	ENSG00000020129_NCDN	Non-head	6	0.8735485519308074	Late
