gene,baseline_value,baseline_band,baseline_source_matrix
AC007038.2,37.7181356506121,mid,size_factor_normalized_counts
AC007064.2,4.588511798640242,NA,size_factor_normalized_counts
AC007066.2,29.50346135903569,mid,size_factor_normalized_counts
AC007098.1,1.253875278589759,tail,size_factor_normalized_counts
AC007114.1,12.911556764483139,NA,size_factor_normalized_counts
AC007216.3,11.1223214959081,NA,size_factor_normalized_counts
AC007216.4,6.052635044415822,NA,size_factor_normalized_counts
AC007240.3,0.853978631437587,tail,size_factor_normalized_counts
AC007255.1,31.20492524056371,mid,size_factor_normalized_counts
AC007262.2,4.134429814354826,NA,size_factor_normalized_counts
AC007279.2,4.880037771525927,NA,size_factor_normalized_counts
AC007283.1,1.5371615365876565,tail,size_factor_normalized_counts
AC007285.1,10.559868837356198,NA,size_factor_normalized_counts
AC007292.1,1.6266792571753093,tail,size_factor_normalized_counts
AC007292.2,14.02996870023979,NA,size_factor_normalized_counts
AC007319.1,2.026575904327481,tail,size_factor_normalized_counts
AC007325.2,76.45148919693722,mid,size_factor_normalized_counts
AC007325.4,40.42774442437636,mid,size_factor_normalized_counts
AC007336.1,21.576011787669646,NA,size_factor_normalized_counts
AC007342.1,2.9076472043316897,tail,size_factor_normalized_counts
AC007342.4,189.485855458937,mid,size_factor_normalized_counts
AC007342.5,214.12987833366626,mid,size_factor_normalized_counts
AC007364.1,4.988408445792414,NA,size_factor_normalized_counts
AC007370.2,5.388305092944586,NA,size_factor_normalized_counts
AC007383.2,38.599206950616306,mid,size_factor_normalized_counts
AC007390.2,21.390664360378615,NA,size_factor_normalized_counts
AC007406.5,186.171818226106,mid,size_factor_normalized_counts
AC007448.4,1.2267826100231374,tail,size_factor_normalized_counts
AC007448.5,1.2267826100231374,tail,size_factor_normalized_counts
AC007529.1,13.203082737368824,NA,size_factor_normalized_counts
AC007529.2,2.080761241460724,tail,size_factor_normalized_counts
AC007546.1,4.534326461506998,NA,size_factor_normalized_counts
AC007566.1,64.89050836974032,mid,size_factor_normalized_counts
AC007613.1,10.295435533037136,NA,size_factor_normalized_counts
AC007620.2,12.776093421650032,NA,size_factor_normalized_counts
AC007637.1,5.815294408663379,NA,size_factor_normalized_counts
AC007655.2,7.360695660138823,NA,size_factor_normalized_counts
AC007663.3,4.615604467206864,NA,size_factor_normalized_counts
AC007663.4,8.214674291576411,NA,size_factor_normalized_counts
AC007666.1,2.053668572894103,tail,size_factor_normalized_counts
AC007673.1,7.787684975857617,NA,size_factor_normalized_counts
AC007684.2,4.9071304400925495,NA,size_factor_normalized_counts
AC007686.3,40.54450484924392,mid,size_factor_normalized_counts
AC007686.4,0,tail,size_factor_normalized_counts
AC007728.2,1.2267826100231374,tail,size_factor_normalized_counts
AC007728.3,3.6803478300694117,tail,size_factor_normalized_counts
AC007743.1,15.575369951715235,NA,size_factor_normalized_counts
AC007773.1,4.161522482921448,NA,size_factor_normalized_counts
AC007785.3,4.1886151514880705,NA,size_factor_normalized_counts
AC007823.1,21.953117018930513,NA,size_factor_normalized_counts
AC007878.1,123.4704417720929,mid,size_factor_normalized_counts
AC007881.3,4.961315777225792,NA,size_factor_normalized_counts
AC007906.1,5.842387077230001,NA,size_factor_normalized_counts
AC007906.2,11.949207458779066,NA,size_factor_normalized_counts
AC007938.1,4.453048455807134,NA,size_factor_normalized_counts
